NHTSACampaignNumber,ReportReceivedDate,Make,Model,ModelYear,Component,parkIt,parkOutSide,overTheAirUpdate,Summary,Consequence,Remedy,Notes,Manufacturer
21V301000,28/04/2021,HYUNDAI,ELANTRA,2019,ENGINE,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Elantra, 2019-2021 Kona and Veloster vehicles equipped with 2.0L Nu MPI engines.  The piston oil rings may not have been properly heat-treated, which could result in engine damage.","A damaged engine may stall, increasing the risk of a crash.  In addition, oil may leak onto hot exhaust components, increasing the risk of a fire.","Dealers will inspect and, if necessary, replace the engine, free of charge.  In addition, Hyundai will deploy Piston Ring Noise Sensing System (PNSS) software.  Owner notification letters were mailed August 24, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
21V301000,28/04/2021,HYUNDAI,ELANTRA,2020,ENGINE,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2019-2020 Elantra, 2019-2021 Kona and Veloster vehicles equipped with 2.0L Nu MPI engines.  The piston oil rings may not have been properly heat-treated, which could result in engine damage.","A damaged engine may stall, increasing the risk of a crash.  In addition, oil may leak onto hot exhaust components, increasing the risk of a fire.","Dealers will inspect and, if necessary, replace the engine, free of charge.  In addition, Hyundai will deploy Piston Ring Noise Sensing System (PNSS) software.  Owner notification letters were mailed August 24, 2021.  Owners may contact Hyundai customer service at 1-855-371-9460.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
19V720000,09/10/2019,HYUNDAI,ELANTRA,2020,WHEELS:LUGS/NUTS/BOLTS/STUDS,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2019 Ioniq Hybrid and 2020 Elantra vehicles.  The right-side rear wheel lug nuts may have been insufficiently tightened, allowing the wheel to detach from the vehicle.",A wheel detaching from the vehicle increases the risk of a crash.,"Hyundai will notify owners, and dealers will inspect and, if necessary, tighten the lug nuts, free of charge.  The recall began November 15, 2019.  Owners may contact Hyundai customer service at 1-800-251-0871.  Hyundai's number for this recall is 184.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
19V721000,09/10/2019,HYUNDAI,ELANTRA,2020,SUSPENSION:FRONT:CONTROL ARM:LOWER BALL JOINT,False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2020 Elantra vehicles.  The lower control arm ball joint fasteners may have been insufficiently tightened allowing the ball joint to detach from the lower control arm.,"A detached ball joint can cause a loss of vehicle control, increasing the risk of a crash.","Hyundai will notify owners, and dealers will inspect and, as necessary, tighten the ball joint fasteners, free of charge.  The recall began November 20, 2019.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 185.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
21V796000,13/10/2021,HYUNDAI,ELANTRA,2021,SEAT BELTS:FRONT,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2021 Elantra, Elantra HEV, Venue, Genesis GV80 and 2022 Genesis GV70 vehicles.  In the event of a crash, the front driver-side and/or passenger-side seat belt pretensioner(s) may explode upon deployment.","An exploding seat belt pretensioner could project metal fragments into the vehicle, striking vehicle occupants and resulting in injury.","Dealers will replace the seat belt pretensioners, free of charge.  Owner notification letters were mailed February 10, 2022. Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's numbers for this recall are 211 and 009G.  This recall is replaced by NHTSA recall numbers 22V-354 for Elantra and Elantra HEV vehicles, 22V-458 for Venue vehicles, and 23V-094 for Genesis vehicles.  Elantra, Elantra HEV, Venue, and Genesis vehicles already repaired under this recall will need to have the new remedies completed.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
21V00M000,28/12/2021,HYUNDAI,ELANTRA,2021,VISIBILITY:WINDSHIELD,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2021 Santa Fe, 2021 Sonata, and Elantra vehicles.  During manufacturing, the windshield may not have been properly bonded to the vehicle, allowing it to detach in a crash.",A windshield that detaches from a vehicle during a crash can increase the risk of injury.,"Dealers will remove and reinstall the front windshield panel, free of charge.  Owner notification letters were mailed June 20, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 216.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
21V302000,28/04/2021,HYUNDAI,ELANTRA,2021,SEATS:FRONT ASSEMBLY:RECLINER,False,False,False,Hyundai Motor America (Hyundai) is recalling certain 2021 Elantra vehicles.  The driver and front passenger seat back recliners may have been improperly welded.,"An improperly welded seat back recliner could separate from the seat back frame during a crash, increasing the risk of injury.","Dealers will inspect and if necessary, replace the seat back frame assembly, free of charge.  Owner notification letters were mailed on June 21, 2021.  Owners may contact Hyundai customer service at 1-888-371-9460.  Hyundai's number for this recall is 204.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.safercar.gov.",Hyundai Motor America
22V218000,01/04/2022,HYUNDAI,ELANTRA,2021,SEAT BELTS:FRONT,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Elantra and 2020 Accent vehicles.  In the event of a crash, the front driver and passenger-side seat belt pretensioners may explode upon deployment.","Exploding seat belt pretensioners can project metal fragments into the vehicle, strike vehicle occupants, and result in injury.","Dealers will replace the seat belt pretensioners, free of charge.  Interim notification letters, notifying owners of the safety risk, were mailed on May 31, 2022. A second notice will be sent once remedy parts become available.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 223.  This recall is replaced by NHTSA recall number 22V-354.  Vehicles already repaired under this recall will need to have the new remedy completed.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
22V354000,19/05/2022,HYUNDAI,ELANTRA,2021,SEAT BELTS:FRONT,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2020-2022 Accent, 2021-2022 Elantra, and 2021-2022 Elantra HEV vehicles.   In the event of a crash, the front driver-side and/or passenger-side seat belt pretensioners may explode upon deployment.","An exploding seat belt pretensioner can project metal fragments into the vehicle, strike vehicle occupants, and result in injury.","Dealers will secure the seat belt pretensioner(s) with a cap, free of charge.  Owner notification letters were mailed August 28, 2022.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 229.  This recall expands and replaces NHTSA recall numbers 21V-796, 22V-069, 22V-218, and 22V-123 for Accent, Elantra, and Elantra HEV vehicles.  All Accent, Elantra, and Elantra HEV vehicles already repaired under the previous recalls will need to have the new remedy completed.","Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153), or go to www.nhtsa.gov.",Hyundai Motor America
24V879000,21/11/2024,HYUNDAI,ELANTRA,2021,BACK OVER PREVENTION: SENSING SYSTEM: CAMERA,False,False,False,"Hyundai Motor America (Hyundai) is recalling certain 2021-2022 Santa Fe, Santa Fe HEV, Elantra, Elantra HEV and 2022 Elantra N and Santa Fe PHEV vehicles.  Due to a damaged printed circuit board, the rearview camera image may fail to display.  As such, these vehicles fail to comply with the requirements of Federal Motor Vehicle Safety Standard number 111, ""Rear Visibility.""",A rearview image that does not display reduces the driver's visibility and increases the risk of a crash.,"Dealers will replace the rearview camera, free of charge.  Owner notification letters were mailed January 14, 2025.  Owners may contact Hyundai customer service at 1-855-371-9460.  Hyundai's number for this recall is 271.",Owners may also contact the National Highway Traffic Safety Administration Vehicle Safety Hotline at 1-888-327-4236 (TTY 1-800-424-9153) or go to nhtsa.gov.,Hyundai Motor America
